Date,langCode,pageviews
2017-11-28,ar,203918
2017-11-28,cs,247487
2017-11-28,da,75704
2017-11-28,de,6197456
2017-11-28,en,74596348
2017-11-28,es,6056058
2017-11-28,fi,138612
2017-11-28,fr,3413410
2017-11-28,he,125598
2017-11-28,hi,188571
2017-11-28,hu,130529
2017-11-28,id,1219177
2017-11-28,it,4468279
2017-11-28,ja,11072314
2017-11-28,ko,238467
2017-11-28,nl,504814
2017-11-28,no,57293
2017-11-28,pl,1260588
2017-11-28,pt,2068622
2017-11-28,ro,110918
2017-11-28,ru,392865
2017-11-28,simple,83740
2017-11-28,sv,270214
2017-11-28,uk,220789
2017-11-28,zh,1678071
2017-11-29,ar,216810
2017-11-29,cs,256280
2017-11-29,da,71755
2017-11-29,de,6323173
2017-11-29,en,72573586
2017-11-29,es,5900960
2017-11-29,fi,173961
2017-11-29,fr,3209785
2017-11-29,he,122099
2017-11-29,hi,191374
2017-11-29,hu,114520
2017-11-29,id,1263907
2017-11-29,it,4572889
2017-11-29,ja,11404872
2017-11-29,ko,196696
2017-11-29,nl,506042
2017-11-29,no,36643
2017-11-29,pl,1173139
2017-11-29,pt,1983807
2017-11-29,ro,80979
2017-11-29,ru,376285
2017-11-29,simple,70844
2017-11-29,sv,231415
2017-11-29,uk,234510
2017-11-29,zh,1740388
2017-11-30,ar,124179
2017-11-30,cs,213325
2017-11-30,da,69822
2017-11-30,de,5144270
2017-11-30,en,70967701
2017-11-30,es,4886740
2017-11-30,fi,162370
2017-11-30,fr,2935891
2017-11-30,he,88147
2017-11-30,hi,180475
2017-11-30,hu,96664
2017-11-30,id,627401
2017-11-30,it,4261974
2017-11-30,ja,10355946
2017-11-30,ko,150986
2017-11-30,nl,564627
2017-11-30,no,30353
2017-11-30,pl,1148354
2017-11-30,pt,2256494
2017-11-30,ro,98507
2017-11-30,ru,336508
2017-11-30,simple,61434
2017-11-30,sv,223271
2017-11-30,uk,205712
2017-11-30,zh,1591381
2017-12-01,ar,142587
2017-12-01,cs,192700
2017-12-01,da,118035
2017-12-01,de,4632295
2017-12-01,en,65607190
2017-12-01,es,3450638
2017-12-01,fi,167773
2017-12-01,fr,3024379
2017-12-01,he,75603
2017-12-01,hi,154104
2017-12-01,hu,102177
2017-12-01,id,502931
2017-12-01,it,3809363
2017-12-01,ja,11580216
2017-12-01,ko,235925
2017-12-01,nl,492875
2017-12-01,no,72162
2017-12-01,pl,1099697
2017-12-01,pt,1650857
2017-12-01,ro,178637
2017-12-01,ru,300259
2017-12-01,simple,56145
2017-12-01,sv,291704
2017-12-01,uk,71387
2017-12-01,zh,1653357
